date,challenger_accounts,season,burning_season_key,source,count_semantics
2024-12-19,173213,season1,2024-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2024-12-26,340543,season1,2024-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-01-02,351168,season1,2024-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-01-09,330152,season1,2024-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-01-16,307111,season1,2024-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-01-23,277133,season1,2024-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-01-30,257133,season1,2024-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-02-06,237813,season1,2024-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-02-13,216696,season1,2024-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-02-20,200373,season1,2024-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-02-27,222293,season1,2024-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-03-06,202226,season1,2024-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-03-13,179680,season1,2024-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-03-20,163262,season1,2024-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-03-27,140011,season1,2024-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-04-03,126230,season1,2024-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-04-10,110998,season1,2024-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-04-17,100353,season1,2024-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-04-24,75810,season1,2024-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-05-01,65100,season1,2024-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-05-08,55532,season1,2024-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-05-15,45589,season1,2024-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-06-26,650456,season2,2025-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-07-03,619598,season2,2025-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-07-10,563148,season2,2025-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-07-17,531711,season2,2025-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-07-24,503401,season2,2025-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-07-31,471778,season2,2025-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-08-07,439788,season2,2025-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-08-14,410441,season2,2025-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-08-21,388357,season2,2025-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-08-28,356370,season2,2025-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-09-04,332895,season2,2025-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-09-11,309117,season2,2025-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-09-18,288952,season2,2025-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-09-25,240758,season2,2025-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-10-02,216580,season2,2025-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-10-09,198964,season2,2025-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-10-16,185308,season2,2025-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-10-23,169443,season2,2025-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-10-30,150125,season2,2025-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-11-06,134699,season2,2025-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-11-13,118308,season2,2025-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-11-20,80015,season2,2025-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2025-12-25,289845,season3,2025-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2026-01-01,283614,season3,2025-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2026-01-08,257052,season3,2025-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2026-01-15,234425,season3,2025-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2026-01-22,217437,season3,2025-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2026-01-29,193637,season3,2025-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2026-02-05,179372,season3,2025-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2026-02-12,168935,season3,2025-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2026-02-19,154821,season3,2025-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2026-02-26,148798,season3,2025-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2026-03-05,139917,season3,2025-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2026-03-12,132277,season3,2025-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2026-03-19,138000,season3,2025-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2026-03-26,154628,season3,2025-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2026-04-02,130670,season3,2025-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2026-04-09,119643,season3,2025-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2026-04-16,103558,season3,2025-12,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2026-06-25,472376,season4,2026-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2026-07-02,450911,season4,2026-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2026-07-09,431527,season4,2026-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2026-07-16,412846,season4,2026-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2026-07-23,399123,season4,2026-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2026-07-30,380114,season4,2026-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2026-08-06,367949,season4,2026-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2026-08-13,354963,season4,2026-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2026-08-20,343054,season4,2026-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2026-08-27,323541,season4,2026-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2026-09-03,305836,season4,2026-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
2026-09-10,286699,season4,2026-06,Meaegi all-burning-character raw array,1 item-burning character per account => account-count proxy
